frame,timestamp,car_id,car_center,x1,y1,x2,y2,movement,fps
124,1764848905.43,6,"(411, 606)",307,557,516,656,13.26,2.79
125,1764848905.82,1,"(361, 885)",228,823,495,948,21.02,2.79
125,1764848905.82,3,"(313, 736)",200,682,426,790,12.62,2.79
125,1764848905.82,6,"(425, 605)",321,556,530,655,13.66,2.79
126,1764848906.2,1,"(386, 886)",253,824,520,949,22.42,2.79
126,1764848906.2,3,"(328, 735)",214,681,442,790,13.82,2.79
126,1764848906.2,6,"(441, 604)",336,555,546,654,14.26,2.79
127,1764848906.63,1,"(412, 888)",279,825,545,951,23.63,2.76
127,1764848906.63,3,"(348, 735)",234,680,463,790,15.42,2.74
127,1764848906.63,6,"(457, 603)",353,554,562,653,14.86,2.72
128,1764848907.02,1,"(441, 889)",309,826,574,952,25.43,2.71
128,1764848907.02,3,"(371, 733)",257,679,485,788,17.83,2.69
128,1764848907.02,6,"(474, 602)",370,553,578,652,15.83,2.68
129,1764848907.42,1,"(469, 889)",338,827,601,952,26.63,2.68
129,1764848907.42,3,"(393, 733)",279,679,507,788,19.22,2.67
129,1764848907.42,6,"(490, 601)",387,552,594,651,15.83,2.67
129,1764848907.42,7,"(1271, 622)",1244,611,1298,633,0.0,2.67
130,1764848907.82,1,"(498, 891)",366,829,630,954,27.44,2.68
130,1764848907.82,3,"(418, 732)",304,678,532,787,21.03,2.69
130,1764848907.82,6,"(508, 600)",405,551,612,649,16.63,2.71
130,1764848907.82,7,"(1271, 622)",1244,612,1298,633,0.0,2.71
131,1764848908.22,1,"(530, 893)",398,830,663,956,28.85,2.71
131,1764848908.22,3,"(446, 731)",333,677,560,785,23.62,2.71
131,1764848908.22,6,"(526, 598)",423,549,630,648,17.05,2.71
131,1764848908.22,7,"(1271, 622)",1244,612,1298,633,0.0,2.71
132,1764848908.65,1,"(562, 895)",430,832,694,958,30.04,2.68
132,1764848908.65,3,"(470, 730)",358,677,583,783,24.43,2.66
132,1764848908.65,6,"(544, 597)",440,548,648,647,17.45,2.63
132,1764848908.65,7,"(1270, 623)",1245,613,1296,634,0.35,2.61
133,1764848909.07,1,"(594, 896)",464,834,725,959,30.64,2.59
133,1764848909.07,3,"(501, 728)",388,675,614,782,26.02,2.58
133,1764848909.07,6,"(563, 597)",459,547,667,647,17.84,2.57
133,1764848909.07,7,"(1270, 624)",1245,614,1296,634,0.48,2.55
134,1764848909.48,1,"(630, 898)",500,836,761,961,32.25,2.54
134,1764848909.48,3,"(533, 726)",420,673,647,780,28.04,2.54
134,1764848909.48,6,"(582, 595)",479,546,685,645,18.45,2.55
134,1764848909.48,7,"(1271, 625)",1245,615,1297,635,0.77,2.57
135,1764848909.89,1,"(667, 900)",537,838,798,962,33.85,2.59
135,1764848909.89,3,"(562, 726)",449,673,676,780,28.83,2.6
135,1764848909.89,6,"(600, 594)",497,545,704,644,18.45,2.61
135,1764848909.89,7,"(1270, 625)",1244,615,1297,636,0.97,2.61
136,1764848910.31,1,"(702, 901)",572,839,833,964,34.44,2.61
136,1764848910.31,3,"(595, 725)",482,672,709,779,29.83,2.6
136,1764848910.31,6,"(621, 593)",518,544,724,643,19.04,2.59
136,1764848910.31,7,"(1270, 626)",1243,615,1297,637,1.17,2.59
137,1764848910.7,1,"(743, 903)",612,840,874,966,36.24,2.59
137,1764848910.71,3,"(632, 724)",520,671,745,777,32.43,2.59
137,1764848910.71,6,"(641, 593)",539,544,743,642,19.43,2.6
137,1764848910.71,7,"(1269, 626)",1242,615,1297,637,1.08,2.61
138,1764848911.12,1,"(784, 905)",653,842,915,968,38.04,2.61
138,1764848911.12,3,"(665, 723)",553,670,777,776,32.82,2.61
138,1764848911.12,6,"(661, 592)",559,543,763,641,19.64,2.61
138,1764848911.12,7,"(1269, 627)",1242,616,1296,638,1.08,2.61
139,1764848911.52,1,"(823, 907)",692,844,955,970,38.64,2.62
139,1764848911.52,3,"(701, 721)",589,668,814,774,33.62,2.63
139,1764848911.52,6,"(682, 589)",581,541,783,638,20.06,2.62
139,1764848911.52,7,"(1268, 627)",1242,617,1295,638,1.0,2.61
140,1764848911.94,1,"(867, 908)",736,845,998,972,40.03,2.6
140,1764848911.94,3,"(743, 720)",631,667,856,773,36.22,2.59
140,1764848911.94,6,"(704, 587)",603,539,805,636,20.87,2.58
140,1764848911.94,7,"(1268, 628)",1242,618,1295,639,1.0,2.58
141,1764848912.36,1,"(911, 910)",780,846,1043,974,41.84,2.58
141,1764848912.36,3,"(781, 718)",669,666,893,771,37.23,2.58
141,1764848912.36,6,"(725, 586)",625,538,826,635,20.87,2.58
141,1764848912.36,7,"(1268, 629)",1240,618,1296,640,1.0,2.58
142,1764848912.76,1,"(953, 911)",822,847,1085,975,42.03,2.58
142,1764848912.76,3,"(822, 716)",710,663,935,769,38.04,2.59
142,1764848912.76,6,"(748, 584)",648,536,848,633,21.49,2.6
142,1764848912.76,7,"(1267, 629)",1240,618,1295,640,1.0,2.61
143,1764848913.16,1,"(999, 911)",869,848,1130,975,43.02,2.62
143,1764848913.16,3,"(869, 714)",757,661,982,767,40.84,2.63
